dataset_id,sample_id,detector_score,generation_gate,gate_band,guardrailed_generation_eligible,condition_count_verified
Sparkov,FOLLOWUP_SPARKOV_001,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_002,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_003,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_004,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_005,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_006,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_007,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_008,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_009,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_010,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_011,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_012,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_013,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_014,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_015,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_016,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_017,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_018,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_019,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_020,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_021,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_022,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_023,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_024,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_025,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_026,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_027,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_028,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_029,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_030,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_031,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_032,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_033,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_034,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_035,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_036,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_037,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_038,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_039,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_040,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_041,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_042,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_043,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_044,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_045,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_046,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_047,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_048,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_049,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_050,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_051,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_052,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_053,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_054,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_055,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_056,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_057,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_058,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_059,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_060,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_061,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_062,0.0,0.5,below_gate,False,6
Sparkov,FOLLOWUP_SPARKOV_063,0.0,0.5,below_gate,False,6
